Site,Value
Beijing,15
Beijing,30
Beijing,37
Beijing,54
Beijing,67
Beijing,70
Beijing,72
Beijing,93
Beijing,109
Beijing,119
Beijing,124
Beijing,127
Beijing,113
Beijing,104
Beijing,119
Beijing,96
Beijing,84
Beijing,67
Beijing,66
Beijing,81
Beijing,82
Beijing,78
Beijing,82
Beijing,74
Beijing,116
Beijing,146
Beijing,134
Beijing,155
Beijing,182
Beijing,176
Beijing,165
Beijing,175
Beijing,188
Beijing,213
Beijing,214
Beijing,166
Beijing,136
Beijing,113
Beijing,125
Beijing,136
Beijing,186
Beijing,122
Beijing,97
Beijing,91
Beijing,78
Beijing,86
Beijing,83
Beijing,73
Beijing,82
Beijing,86
Beijing,105
Beijing,170
Beijing,177
Beijing,179
Beijing,186
Beijing,178
Beijing,71
Beijing,52
Beijing,123
Beijing,190
Beijing,183
Beijing,137
Beijing,54
Beijing,23
Beijing,25
Beijing,26
Beijing,27
Beijing,21
Beijing,-999
Beijing,-999
Beijing,-999
Beijing,24
Beijing,20
Beijing,16
Beijing,15
Beijing,16
Beijing,9
Beijing,11
Beijing,9
Beijing,13
Beijing,10
Beijing,14
Beijing,20
Beijing,23
Beijing,21
Beijing,20
Beijing,20
Beijing,26
Beijing,24
Beijing,18
Beijing,24
Beijing,30
Beijing,27
Beijing,29
Beijing,35
Beijing,30
Beijing,34
Beijing,27
Beijing,28
Beijing,40
Beijing,53
Beijing,73
Beijing,75
Beijing,88
Beijing,73
Beijing,61
Beijing,68
Beijing,94
Beijing,111
Beijing,96
Beijing,98
Beijing,95
Beijing,109
Beijing,96
Beijing,87
Beijing,-999
Beijing,111
Beijing,130
Beijing,126
Beijing,120
Beijing,127
Beijing,122
Beijing,170
Beijing,205
Beijing,231
Beijing,253
Beijing,282
Beijing,291
Beijing,317
Beijing,313
Beijing,281
Beijing,247
Beijing,215
Beijing,215
Beijing,221
Beijing,203
Beijing,218
Beijing,218
Beijing,227
Beijing,227
Beijing,231
Beijing,230
Beijing,239
Beijing,253
Beijing,258
Beijing,268
Beijing,283
Beijing,290
Beijing,315
Beijing,348
Beijing,380
Beijing,388
Beijing,376
Beijing,394
Beijing,345
Beijing,329
Beijing,309
Beijing,325
Beijing,348
Beijing,359
Beijing,373
Beijing,336
Beijing,302
Beijing,286
Beijing,276
Beijing,220
Beijing,289
Beijing,308
Beijing,293
Beijing,297
Beijing,307
Beijing,262
Beijing,197
Beijing,177
Beijing,168
Beijing,169
Beijing,172
Beijing,195
Beijing,214
Beijing,240
Beijing,252
Beijing,256
Beijing,241
Beijing,250
Beijing,249
Beijing,246
Beijing,204
Beijing,45
Beijing,22
Beijing,22
Beijing,17
Beijing,17
Beijing,13
Beijing,16
Beijing,16
Beijing,21
Beijing,26
Beijing,23
Beijing,26
Beijing,22
Beijing,28
Beijing,17
Beijing,20
Beijing,18
Beijing,14
Beijing,17
Beijing,16
Beijing,19
Beijing,23
Beijing,21
Beijing,27
Beijing,29
Beijing,23
Beijing,18
Beijing,13
Beijing,18
Beijing,18
Beijing,19
Beijing,12
Beijing,17
Beijing,25
Beijing,40
Beijing,46
Beijing,75
Beijing,114
Beijing,109
Beijing,79
Beijing,29
Beijing,21
Beijing,16
Beijing,9
Beijing,15
Beijing,13
Beijing,12
Beijing,11
Beijing,11
Beijing,14
Beijing,10
Beijing,13
Beijing,11
Beijing,14
Beijing,19
Beijing,16
Beijing,27
Beijing,76
Beijing,171
Beijing,147
Beijing,119
Beijing,176
Beijing,407
Beijing,225
Beijing,165
Beijing,267
Beijing,329
Beijing,375
Beijing,325
Beijing,288
Beijing,103
Beijing,243
Beijing,223
Beijing,197
Beijing,133
Beijing,92
Beijing,84
Beijing,-999
Beijing,124
