Unnamed: 0,predict_data,mse,rmse,smooth,skip
1223,"[64.87439   64.07644   -2.7241912  5.2187643 41.198505  45.27663
 45.352993  84.868805  53.11059   35.487797  32.176304  22.628063 ]",597.108,24.4357928291964,weighted6,3
1224,"[51.6895    63.228077   3.2067218 19.918455  46.943317  37.053986
 59.16164   70.72898   54.80553   40.259106  61.065876  45.40924  ]",344.33023,18.55613727888675,weighted6,3
1225,"[46.34615   65.775635   2.3195574 34.012463  43.136078  29.03201
 80.38197   57.837822  46.672855  41.083496  60.923695  59.348705 ]",427.09555,20.666290197737705,weighted6,3
1226,"[36.8813     43.70697     0.46220013 29.819052   36.866764   32.56204
 83.357574   49.219925   53.29424    41.658524   47.733578   54.84161   ]",432.9366,20.80712894635477,weighted6,3
1227,"[32.26288  38.14917  22.022629 22.95604  35.862095 41.493233 87.825584
 59.076794 67.24554  40.121315 36.16057  56.68183 ]",481.7611,21.94905711866543,weighted6,3
1228,"[41.08414  30.053398 26.701422 17.729324 37.476444 50.688553 80.0001
 62.353382 76.664024 30.505402 17.495321 45.955853]",477.91638,21.86129872253562,weighted6,3
1229,"[53.30085  40.21484  23.864914 12.430875 41.78778  56.543224 72.274506
 69.19044  67.962685 27.695227 14.596076 36.320164]",436.97586,20.90396758023948,weighted6,3
1230,"[54.50158   49.817436  20.602304   6.9072475 48.304714  52.331814
 59.323704  79.74069   51.266247  26.345978  23.927116  35.105114 ]",416.3186,20.40388697076185,weighted6,3
1231,"[55.82482  57.842487 11.499875 15.368696 40.219364 30.807081 63.410835
 70.98424  53.10848  29.214863 41.31371  42.311153]",366.0325,19.13197588386268,weighted6,3
1232,"[45.32997   52.25357    4.3178334 28.387861  49.203568  30.56811
 73.21196   61.3322    58.92809   38.572414  53.0451    59.535538 ]",330.75208,18.18659053245859,weighted6,3
