Unnamed: 0,predict_data,mse,rmse,smooth,skip
10362,"[46.3925   32.900494 48.167515 47.82352  49.336475 34.02601  33.996044
 51.78207  50.434772 41.63576  42.103004 44.62237 ]",142.31194,11.929456627391067,rolling3,2
10363,"[49.138042 45.555008 39.68697  59.753925 48.778763 43.063168 32.239937
 68.032166 38.11209  26.12117  47.56365  39.130253]",256.49033,16.015315355238386,rolling3,2
10364,"[21.489798 62.535645 62.677845 72.89027  50.032524 51.424263 53.54891
 75.277596 75.50872  55.47093  35.996937 49.41981 ]",607.33417,24.644150776207905,rolling3,2
10365,"[32.101135 49.41373  74.26718  72.65405  39.200905 63.623657 27.536417
 71.43284  64.46366  37.28071  57.571556 38.97157 ]",483.933,21.99847753632091,rolling3,2
10366,"[66.356476 24.071972 43.874573 34.245056 50.047455 65.5546   45.15889
 52.700356 55.745205 35.617855 65.63285  26.078573]",244.76569,15.6449891669875,rolling3,2
10367,"[70.14157  53.54005  58.11734  37.758495 55.925983 61.753498 74.012955
 55.722713 50.25709  41.952072 47.85228  18.565031]",352.2258,18.767679653077703,rolling3,2
10368,"[39.459103 70.093666 59.648167 33.829018 47.25661  36.239964 66.49032
 64.728485 73.68989  29.686481 30.522175 35.300415]",327.4913,18.096720766211607,rolling3,2
10369,"[46.387875 67.88244  66.92663  35.76676  62.44385  42.077618 46.993683
 50.693832 73.33311  19.014345 43.673122 47.5729  ]",286.58456,16.928808706137133,rolling3,2
10370,"[62.044212  77.912926  33.16082   28.808487  59.901985  34.70067
 61.172977  50.87233   58.922997   7.2647758 55.807793  48.53831  ]",415.46292,20.382907573321773,rolling3,2
10371,"[64.0213    86.87697   51.74389   31.228376  50.429695  10.897256
 71.5549    49.388176  69.92725    2.8656244 47.461536   4.3695397]",912.4314,30.206479379172524,rolling3,2
10372,"[75.83207   80.20436   55.422146  46.111694  50.958176  49.890976
 56.455612  54.6103    48.22278   10.942984  49.524143  -3.4948418]",643.9577,25.3763216924108,rolling3,2
10373,"[60.845028 69.89519  38.335552 70.4957   58.6628   47.46741  65.77671
 86.75944  47.427814 41.233345 53.752052 50.05692 ]",182.64069,13.51446210676386,rolling3,2
10374,"[39.202076 47.67874  78.01851  77.07303  30.433456 33.663162 80.27486
 66.73793  70.26649  47.40334  24.482935 52.642036]",379.70004,19.485893428955453,rolling3,2
10375,"[35.292618 32.726482 43.53089  86.353264 47.407387 69.97837  28.769718
 65.49708  39.01314  48.571854 33.12461  61.290104]",366.33694,19.139930631537776,rolling3,2
10376,"[56.16032  33.547146 27.208294 56.95215  60.962845 37.204197 32.328907
 76.19473  46.610626 56.50158  51.626507 56.93828 ]",235.20528,15.336403636095977,rolling3,2
10377,"[60.58231  33.29221  69.59488  45.38537  41.683598 34.861088 37.313187
 28.885351 68.81363  52.174274 35.697266 19.334713]",360.1863,18.978575020650343,rolling3,2
10378,"[40.19312  64.31201  49.013542 42.566616 44.296055 65.1084   57.397575
 47.597683 74.93544  46.553703 32.233017 38.150402]",149.52324,12.227969542640436,rolling3,2
10379,"[48.356255 70.844055 71.995384 45.963913 48.146343 47.22839  74.03974
 58.395542 77.256516 22.2777   50.176563 47.615284]",216.15623,14.70225270974523,rolling3,2
10380,"[69.77094  60.61733  46.42176  14.215947 58.956882 37.89967  72.352036
 56.483894 56.99595   9.447984 55.851517 40.947533]",388.314,19.70568434136019,rolling3,2
10381,"[58.56872  78.16576  39.541653 25.71374  49.191326 28.246574 88.28489
 60.16781  63.433388 22.178244 28.427444 40.88097 ]",444.1615,21.075139359525892,rolling3,2
10382,"[47.695057 81.38724  50.886395 49.15745  33.160034 21.548012 78.931496
 52.485813 53.374985 14.278085 35.464146 44.78646 ]",316.43985,17.788756276185122,rolling3,2
10383,"[43.066353 64.805016 21.009785 54.210484 48.92519  51.513466 43.298634
 61.30651  43.538746 22.454971 42.361168 40.63532 ]",146.9953,12.12416183878163,rolling3,2
10384,"[64.40847  72.96825  27.78344  55.431084 44.81107  47.295444 58.606808
 59.944054 45.48279  35.640293 49.902245 41.029408]",177.40309,13.319275184133108,rolling3,2
10385,"[67.89649  55.64212  36.36947  40.280384 30.289478 34.908184 72.292725
 51.55065  53.692192 33.118008 44.824375 38.100674]",150.2189,12.256382116590958,rolling3,2
10386,"[49.111866 38.668133 42.901276 48.784294 32.332985 53.300186 61.310963
 58.350334 50.818336 35.328545 29.736528 34.11205 ]",97.38233,9.868248671782878,rolling3,2
10387,"[41.49703  41.691586 44.189415 57.027134 38.37833  51.65039  50.56149
 69.79961  52.489548 40.006584 34.60517  44.74746 ]",95.147575,9.754361864233765,rolling3,2
10388,"[37.275024 38.6343   61.19656  54.254284 40.658997 45.793613 42.4322
 60.00394  62.190063 46.414925 37.414787 40.100407]",102.40145,10.119360212525288,rolling3,2
10389,"[34.548985 36.6925   63.436127 52.429283 48.09299  47.60031  30.920523
 46.12921  59.748226 51.545067 46.388657 37.64828 ]",115.36121,10.740633765475948,rolling3,2
10390,"[38.069736 39.550137 55.8571   35.59759  52.25035  35.61903  34.52636
 57.93159  60.680035 44.378384 60.19227  28.679379]",140.79906,11.865877843920185,rolling3,2
10391,"[45.32242  37.7895   59.624714 25.565664 54.15574  39.280136 47.747932
 53.72599  65.09784  33.6727   67.67633  25.189415]",217.60498,14.751439945603616,rolling3,2
10392,"[39.80574  48.967575 55.0879   39.84829  55.282417 57.64717  54.951
 66.46569  51.02928  41.16088  64.310196 33.87887 ]",193.61049,13.91439861767664,rolling3,2
10393,"[32.37725  52.713375 53.2874   49.96613  58.43118  47.003872 53.158516
 73.08063  43.654335 55.865276 56.79916  46.676807]",224.82133,14.994043311891131,rolling3,2
10394,"[39.258358 39.64908  38.303944 38.389656 52.756634 51.292892 44.019882
 64.19534  34.12051  43.04892  57.61028  46.591694]",144.75496,12.03141550718141,rolling3,2
10395,"[42.931892 54.105072 19.858269 41.399418 61.79707  62.019997 55.142193
 54.40794  29.513533 48.286903 54.610626 44.289948]",284.41818,16.8647022616187,rolling3,2
10396,"[49.60943  73.31606  25.70829  36.72564  52.020996 48.231483 53.6783
 63.888115 32.11474  49.947266 54.103073 34.233574]",357.44388,18.906186240853238,rolling3,2
