timestamp,value
186411,80.8
186412,78.4
186501,74.3
186502,70.7
186503,68.8
186504,66.9
186505,63
186506,59.1
186507,56.5
186508,55.1
186509,53.8
186510,51.7
186511,49.1
186512,46
186601,43.3
186602,39.9
186603,36.8
186604,35.4
186605,34
186606,31.9
186607,28.5
186608,23
186609,18.8
186610,16.6
186611,14.8
186612,12.8
186701,11.3
186702,10.3
186703,9.9
186704,10
186705,10
186706,11.9
186707,14.9
186708,17
186709,19.1
186710,22.4
186711,26.2
186712,29.8
186801,33.5
186802,37.1
186803,41.6
186804,47.3
186805,53.9
186806,60
186807,65.8
186808,72.1
186809,77
186810,79.1
186811,84.8
186812,95.5
186901,103
186902,108.2
186903,113.7
186904,115.9
186905,117
186906,120.9
186907,124.6
186908,129.5
186909,140.7
186910,156.2
186911,169.5
186912,176.4
187001,183.4
187002,193.6
187003,202.6
187004,212.5
187005,223.4
187006,230
187007,232.5
187008,234
187009,233.7
187010,232.9
187011,231
187012,225.8
187101,220.7
187102,215.6
187103,208.7
187104,200.8
187105,193.9
187106,188.2
187107,184.9
187108,183.9
187109,179.7
187110,171.8
187111,164.9
187112,163.6
187201,165
187202,164
187203,165.2
187204,168.5
187205,169.9
187206,169.9
187207,170
187208,169.6
187209,169.3
187210,168.2
187211,162.3
187212,153.6
187301,146.4
187302,142
187303,135.6
187304,127.1
187305,119.3
187306,112.9
187307,108.7
187308,103.9
187309,97.4
187310,90.7
187311,87.4
187312,86.7
187401,86.3
187402,85.9
187403,84.1
187404,81.9
187405,79.2
187406,75.9
187407,71.3
187408,65.2
187409,61.3
187410,60.2
187411,57.7
187412,54.4
187501,49.6
187502,42.5
187503,37.5
187504,34.2
187505,31.9
187506,29.8
187507,28.4
187508,27.9
187509,27.3
187510,25.2
187511,22.9
187512,20.9
187601,19.5
187602,19.3
187603,19.4
187604,20.1
187605,19.6
187606,19
187607,19.5
187608,19.8
187609,18.1
187610,17.7
187611,19.8
187612,21.8
187701,22
187702,21.2
187703,21.5
187704,21.4
187705,21.2
187706,21.1
187707,19.2
187708,17.6
187709,17.2
187710,15.8
187711,13.6
187712,12
187801,11
187802,10.2
187803,8.9
187804,7.8
187805,6.7
187806,5.9
187807,5.6
187808,5
187809,4
187810,3.9
187811,4.1
187812,3.7
187901,4.1
187902,5.4
187903,6.2
187904,7
187905,8.4
187906,9.5
187907,11.6
187908,15.1
187909,18.3
187910,20.5
187911,22.9
187912,26.4
188001,29.4
188002,33
188003,39.8
188004,46.1
188005,49.4
188006,52.2
188007,54.6
188008,57.3
188009,61.3
188010,65.8
188011,69.4
188012,72.6
188101,78.3
188102,82.8
188103,82.6
188104,83.2
188105,86.4
188106,89.3
188107,91.1
188108,92.8
188109,95.1
188110,99.2
188111,103.7
188112,104.1
188201,100.8
188202,97.4
188203,96.5
188204,96.4
188205,98.1
188206,99.8
188207,100.5
188208,100
188209,96.7
188210,94.1
188211,90.9
188212,90.8
188301,95.4
188302,98.2
188303,98.2
188304,99.6
188305,101.3
188306,103.7
188307,108.2
188308,113.1
188309,119
188310,121.7
188311,123.7
188312,124.4
188401,120.8
188402,119.5
188403,120.9
188404,119
188405,113.2
188406,107.8
188407,102.5
188408,98
188409,94.4
188410,90.3
188411,89.3
188412,92
188501,95.1
188502,95.7
188503,93.7
188504,91.6
188505,90.5
188506,88.4
188507,85.7
188508,81.6
188509,79
188510,78.7
188511,75
188512,68.2
188601,61.7
188602,56.9
188603,53.3
188604,50
188605,45.7
188606,43
188607,41
188608,38.8
188609,34.2
188610,28
188611,24.7
188612,23.1
188701,21.9
188702,21.7
188703,21
188704,19.9
188705,20.2
188706,21.2
188707,21.9
188708,21.7
188709,21.5
188710,21.6
188711,20.6
188712,19.1
188801,17.1
188802,14.4
188803,13.2
188804,13
188805,12.9
188806,12.2
188807,10.4
188808,9.7
188809,9.7
188810,9.5
188811,9.2
188812,8.8
188901,9.2
188902,10.9
188903,12
188904,11.8
188905,11.1
188906,10.4
188907,10.7
188908,10.5
188909,9.8
188910,9.5
188911,9.5
188912,9.3
189001,9.1
189002,8.4
189003,8.3
189004,9.7
189005,10.9
189006,11.7
189007,12.3
189008,14.4
189009,16.2
189010,17.9
189011,21.7
189012,27.5
189101,34.1
189102,39
189103,43.3
189104,48.7
189105,53.7
189106,57.7
189107,63.2
189108,70.8
189109,77.3
189110,83.5
189111,89.5
189112,94.2
189201,97.4
189202,103.3
189203,108.7
189204,110.6
189205,113.6
189206,118.4
189207,122
189208,122.2
189209,123.1
189210,125.5
189211,127.2
189212,128.5
189301,130.2
189302,133
189303,136
189304,137.7
189305,139
189306,140.8
189307,142.4
189308,143.8
189309,143.6
189310,142.3
189311,142.9
189312,144.7
189401,146.5
189402,143.7
189403,138.7
189404,137.6
189405,136
189406,132.4
189407,128.6
189408,126
189409,125.4
189410,125.7
189411,123
189412,118.8
189501,112.8
189502,108.7
189503,108
189504,106.9
189505,105.8
189506,105.9
189507,104.2
189508,101.2
189509,99.9
189510,96.9
189511,91.9
189512,87.5
189601,85.8
189602,82.7
189603,80.1
189604,77.6
189605,74.2
189606,71.7
189607,70.5
189608,69.4
189609,65.8
189610,63.4
189611,62
189612,58.8
189701,55
189702,53.4
189703,52.1
189704,50.2
189705,47.1
189706,44.4
189707,43.1
189708,42.8
189709,44
189710,43.5
189711,42.7
189712,43.9
189801,43.3
189802,42.7
189803,42.4
189804,42.9
189805,45.8
189806,46
189807,43.8
189808,41.2
189809,37.9
189810,36.4
189811,35.2
189812,33.8
189901,34
189902,32.3
189903,28.5
189904,25.2
189905,22.1
189906,20.3
189907,19.5
189908,19.1
189909,18.8
189910,18.2
189911,18.9
189912,18.8
190001,17.9
190002,17.6
190003,17.7
190004,17.7
190005,17.5
190006,16.5
190007,15.2
190008,13.7
190009,12.7
190010,11.3
190011,9.8
190012,9
190101,8.1
190102,7.3
190103,6.5
190104,5.4
190105,4.7
190106,4.6
190107,5
190108,5.2
190109,5.5
190110,6.1
190111,5.6
190112,4.8
190201,4.5
190202,4.6
190203,5.2
190204,6.5
190205,7.8
190206,8.4
190207,8.6
190208,10
190209,11.3
190210,13.1
190211,15.8
190212,17.6
190301,20.5
190302,24.2
190303,26.3
190304,28.1
190305,32.1
190306,37.6
190307,42.3
190308,44.4
190309,46.6
190310,49.4
190311,52.3
190312,55.8
190401,59.1
190402,62.7
190403,66.1
190404,68.5
190405,69.1
190406,69.3
190407,71.5
190408,77.4
190409,83
190410,84.1
190411,84.4
190412,85.5
190501,87.6
190502,89.1
190503,90.9
190504,94.4
190505,100.9
190506,105.7
190507,105.1
190508,100.7
190509,97.5
190510,99.1
190511,100.9
190512,102.6
190601,105.7
190602,107.1
190603,106.4
190604,102.2
190605,93.2
190606,89.1
190607,91.9
190608,99.4
190609,104.5
190610,104
190611,102.8
190612,100.2
190701,94.9
190702,91.6
190703,94
190704,99.4
190705,104.2
190706,104.6
190707,100.8
190708,93.1
190709,85.7
190710,83.8
190711,84
190712,84.4
190801,84.3
190802,86.1
190803,88.7
190804,86.6
190805,83.1
190806,81.5
190807,82.2
190808,84.3
190809,87.8
190810,88.6
190811,86.5
190812,84.4
190901,82.4
190902,77.4
190903,69.4
190904,67.9
190905,70.4
190906,72.1
190907,71
190908,67.9
190909,63.7
190910,58.9
190911,56.3
190912,54.6
191001,52.4
191002,50.1
191003,48.4
191004,46.2
191005,41.2
191006,34.4
191007,29.4
191008,26.2
